pair_id,cell,row,col,card_no,label,qr_url,front_image,back_image,front_page,back_page,front_bbox_xyxy,back_bbox_xyxy,needs_review,review_note,created_at,card_id,front_cell,back_cell,manual_locked,source_pdf
061_card,C2,3,2,061,,https://cardlish.com/aid/,cards/061_card_front.png,cards/061_card_back.png,1,2,"(586, 1666, 1078, 2341)","(557, 1666, 1059, 2341)",False,,07/06/2026,legacy_061_card,C2,C2,False,
062_card,C3,3,3,062,,https://cardlish.com/ake/,cards/062_card_front.png,cards/062_card_back.png,1,2,"(1162, 1666, 1699, 2341)","(1114, 1666, 1699, 2341)",False,,07/06/2026,legacy_062_card,C3,C3,False,
063_card,B3,2,3,063,,https://cardlish.com/ail/,cards/063_card_front.png,cards/063_card_back.png,1,2,"(1162, 925, 1699, 1608)","(1114, 909, 1699, 1584)",False,,07/06/2026,legacy_063_card,B3,B3,False,
064_card,A3,1,3,064,,https://cardlish.com/aim/,cards/064_card_front.png,cards/064_card_back.png,1,2,"(1162, 0, 1699, 800)","(1114, 0, 1699, 795)",False,,07/06/2026,legacy_064_card,A3,A3,False,
065_card,A1,1,1,065,,https://cardlish.com/ain/,cards/065_card_front.png,cards/065_card_back.png,2,1,"(0, 0, 495, 832)","(0, 0, 494, 867)",False,,07/06/2026,legacy_065_card,A1,A1,False,
066_card,B1,2,1,066,,https://cardlish.com/ape/,cards/066_card_front.png,cards/066_card_back.png,2,1,"(0, 918, 495, 1605)","(0, 923, 494, 1609)",False,,07/06/2026,legacy_066_card,B1,B1,False,
067_card,C1,3,1,067,,https://cardlish.com/ate/,cards/067_card_front.png,cards/067_card_back.png,2,1,"(0, 1663, 495, 2341)","(0, 1663, 494, 2341)",False,,07/06/2026,legacy_067_card,C1,C1,False,
068_card,C2,3,2,068,,https://cardlish.com/ave/,cards/068_card_front.png,cards/068_card_back.png,2,1,"(544, 1663, 1049, 2341)","(541, 1663, 1048, 2341)",False,,07/06/2026,legacy_068_card,C2,C2,False,
069_card,C3,3,3,069,,https://cardlish.com/aze/,cards/069_card_front.png,cards/069_card_back.png,2,1,"(1103, 1663, 1699, 2341)","(1096, 1663, 1699, 2341)",False,,07/06/2026,legacy_069_card,C3,C3,False,
070_card,A2,1,2,070,,https://cardlish.com/long-a-ay/,cards/070_card_front.png,cards/070_card_back.png,2,1,"(544, 0, 1049, 832)","(541, 0, 1048, 867)",False,,07/06/2026,legacy_070_card,A2,A2,False,
071_card,B2,2,2,071,,https://cardlish.com/aid/,cards/071_card_front.png,cards/071_card_back.png,2,1,"(544, 918, 1049, 1605)","(541, 923, 1048, 1609)",False,,07/06/2026,legacy_071_card,B2,B2,False,
072_card,B3,2,3,072,,https://cardlish.com/ail/,cards/072_card_front.png,cards/072_card_back.png,2,1,"(1103, 918, 1699, 1605)","(1096, 923, 1699, 1609)",False,,07/06/2026,legacy_072_card,B3,B3,False,
073_card,A3,1,3,073,,https://cardlish.com/ain/,cards/073_card_front.png,cards/073_card_back.png,2,1,"(1103, 0, 1699, 832)","(1096, 0, 1699, 867)",False,,07/06/2026,legacy_073_card,A3,A3,False,
074_card,A1,1,1,074,,https://cardlish.com/aint/,cards/074_card_front.png,cards/074_card_back.png,2,1,"(0, 0, 478, 803)","(0, 0, 494, 802)",False,,07/06/2026,legacy_074_card,A1,A1,False,
075_card,B1,2,1,075,,https://cardlish.com/aise/,cards/075_card_front.png,cards/075_card_back.png,2,1,"(0, 887, 478, 1568)","(0, 910, 494, 1594)",False,,07/06/2026,legacy_075_card,B1,B1,False,
076_card,C1,3,1,076,,https://cardlish.com/ate/,cards/076_card_front.png,cards/076_card_back.png,2,1,"(0, 1654, 478, 2341)","(0, 1664, 494, 2341)",False,,07/06/2026,legacy_076_card,C1,C1,False,
077_card,C2,3,2,077,,https://cardlish.com/long-a-ay/,cards/077_card_front.png,cards/077_card_back.png,2,1,"(556, 1654, 1061, 2341)","(566, 1664, 1076, 2341)",False,,07/06/2026,legacy_077_card,C2,C2,False,
078_card,B2,2,2,078,,https://cardlish.com/long-a-ay/,cards/078_card_front.png,cards/078_card_back.png,2,1,"(556, 887, 1061, 1568)","(566, 910, 1076, 1594)",False,,07/06/2026,legacy_078_card,B2,B2,False,
079_card,A2,1,2,079,,https://cardlish.com/long-a-ay/,cards/079_card_front.png,cards/079_card_back.png,2,1,"(556, 0, 1061, 803)","(566, 0, 1076, 802)",False,,07/06/2026,legacy_079_card,A2,A2,False,
080_card,B3,2,3,080,,https://cardlish.com/long-e/,cards/080_card_front.png,cards/080_card_back.png,1,2,"(1079, 933, 1699, 1619)","(1093, 898, 1699, 1582)",False,,07/06/2026,legacy_080_card,B3,B3,False,
081_card,C3,3,3,081,,https://cardlish.com/long-e/,cards/081_card_front.png,cards/081_card_back.png,1,2,"(1079, 1659, 1699, 2341)","(1093, 1652, 1699, 2341)",False,,07/06/2026,legacy_081_card,C3,C3,False,
082_card,A1,1,1,082,,https://cardlish.com/eek/,cards/082_card_front.png,cards/082_card_back.png,2,1,"(0, 0, 509, 802)","(0, 0, 493, 870)",False,,07/06/2026,legacy_082_card,A1,A1,False,
083_card,B1,2,1,083,,https://cardlish.com/eel/,cards/083_card_front.png,cards/083_card_back.png,2,1,"(0, 896, 509, 1580)","(0, 936, 493, 1620)",False,,07/06/2026,legacy_083_card,B1,B1,False,
084_card,C1,3,1,084,,https://cardlish.com/eam/,cards/084_card_front.png,cards/084_card_back.png,2,1,"(0, 1659, 509, 2341)","(0, 1659, 493, 2341)",False,,07/06/2026,legacy_084_card,C1,C1,False,
085_card,C2,3,2,085,,https://cardlish.com/ean-2/,cards/085_card_front.png,cards/085_card_back.png,2,1,"(575, 1659, 1079, 2341)","(536, 1659, 1042, 2341)",False,,07/06/2026,legacy_085_card,C2,C2,False,
086_card,B2,2,2,086,,https://cardlish.com/ease/,cards/086_card_front.png,cards/086_card_back.png,2,1,"(575, 896, 1079, 1580)","(536, 936, 1042, 1620)",False,,07/06/2026,legacy_086_card,B2,B2,False,
087_card,A2,1,2,087,,https://cardlish.com/east/,cards/087_card_front.png,cards/087_card_back.png,2,1,"(575, 0, 1079, 802)","(536, 0, 1042, 870)",False,,07/06/2026,legacy_087_card,A2,A2,False,
088_card,A3,1,3,088,,https://cardlish.com/eat/,cards/088_card_front.png,cards/088_card_back.png,2,1,"(1133, 0, 1699, 802)","(1104, 0, 1699, 870)",False,,07/06/2026,legacy_088_card,A3,A3,False,
089_card,B3,2,3,089,,https://cardlish.com/eve/,cards/089_card_front.png,cards/089_card_back.png,2,1,"(1133, 896, 1699, 1580)","(1104, 936, 1699, 1620)",False,,07/06/2026,legacy_089_card,B3,B3,False,
090_card,C3,3,3,090,,https://cardlish.com/long-e/,cards/090_card_front.png,cards/090_card_back.png,2,1,"(1133, 1659, 1699, 2341)","(1104, 1659, 1699, 2341)",False,,07/06/2026,legacy_090_card,C3,C3,False,
batch031_A3,A3,1,3,091,,https://cardlish.com/eed/,cards/batch031_A3_front.png,cards/batch031_A3_back.png,2,1,"(1531, 0, 2341, 537)","(1148, 0, 1699, 802)",False,,07/06/2026,legacy_batch031_A3,A3,A3,False,
092_card,A2,1,2,092,,https://cardlish.com/eek/,cards/092_card_front.png,cards/092_card_back.png,2,1,"(737, 0, 1424, 537)","(593, 0, 1105, 802)",False,,07/06/2026,legacy_092_card,A2,A2,False,
093_card,A1,1,1,093,,https://cardlish.com/eel/,cards/093_card_front.png,cards/093_card_back.png,2,1,"(0, 0, 682, 537)","(0, 0, 548, 802)",False,,07/06/2026,legacy_093_card,A1,A1,False,
094_card,B1,2,1,094,,https://cardlish.com/ean-2/,cards/094_card_front.png,cards/094_card_back.png,2,1,"(0, 587, 682, 1090)","(0, 908, 548, 1592)",False,,07/06/2026,legacy_094_card,B1,B1,False,
095_card,B2,2,2,095,,https://cardlish.com/eep/,cards/095_card_front.png,cards/095_card_back.png,2,1,"(737, 587, 1424, 1090)","(593, 908, 1105, 1592)",False,,07/06/2026,legacy_095_card,B2,B2,False,
096_card,B3,2,3,096,,https://cardlish.com/eat/,cards/096_card_front.png,cards/096_card_back.png,2,1,"(1531, 587, 2341, 1090)","(1148, 908, 1699, 1592)",False,,07/06/2026,legacy_096_card,B3,B3,False,
097_card,C3,3,3,097,,https://cardlish.com/ease/,cards/097_card_front.png,cards/097_card_back.png,2,1,"(1531, 1155, 2341, 1699)","(1148, 1659, 1699, 2341)",False,,07/06/2026,legacy_097_card,C3,C3,False,
098_card,C2,3,2,098,,https://cardlish.com/long-e/,cards/098_card_front.png,cards/098_card_back.png,2,1,"(737, 1155, 1424, 1699)","(593, 1659, 1105, 2341)",False,,07/06/2026,legacy_098_card,C2,C2,False,
batch031_C1,C1,3,1,099,,https://cardlish.com/long-e/,cards/batch031_C1_front.png,cards/batch031_C1_back.png,2,1,"(0, 1155, 682, 1699)","(0, 1659, 548, 2341)",False,,07/06/2026,legacy_batch031_C1,C1,C1,False,
100_card,A1,1,1,100,,https://cardlish.com/long-e/,cards/100_card_front.png,cards/100_card_back.png,2,1,"(0, 0, 541, 795)","(0, 0, 525, 848)",False,,07/06/2026,legacy_100_card,A1,A1,False,
101_card,B1,2,1,101,,https://cardlish.com/long-e/,cards/101_card_front.png,cards/101_card_back.png,2,1,"(0, 893, 541, 1579)","(0, 922, 525, 1611)",False,,07/06/2026,legacy_101_card,B1,B1,False,
102_card,C1,3,1,102,,https://cardlish.com/long-e/,cards/102_card_front.png,cards/102_card_back.png,2,1,"(0, 1660, 541, 2341)","(0, 1660, 525, 2341)",False,,07/06/2026,legacy_102_card,C1,C1,False,
103_card,C2,3,2,103,,https://cardlish.com/long-e/,cards/103_card_front.png,cards/103_card_back.png,2,1,"(596, 1660, 1098, 2341)","(567, 1660, 1077, 2341)",False,,07/06/2026,legacy_103_card,C2,C2,False,
104_card,B2,2,2,104,,https://cardlish.com/long-i/,cards/104_card_front.png,cards/104_card_back.png,2,1,"(596, 893, 1098, 1579)","(567, 922, 1077, 1611)",False,,07/06/2026,legacy_104_card,B2,B2,False,
105_card,A2,1,2,105,,https://cardlish.com/long-i/,cards/105_card_front.png,cards/105_card_back.png,2,1,"(596, 0, 1098, 795)","(567, 0, 1077, 848)",False,,07/06/2026,legacy_105_card,A2,A2,False,
106_card,A3,1,3,106,,https://cardlish.com/long-i/,cards/106_card_front.png,cards/106_card_back.png,2,1,"(1150, 0, 1699, 795)","(1127, 0, 1699, 848)",False,,07/06/2026,legacy_106_card,A3,A3,False,
107_card,B3,2,3,107,,https://cardlish.com/ibe/,cards/107_card_front.png,cards/107_card_back.png,2,1,"(1150, 893, 1699, 1579)","(1127, 922, 1699, 1611)",False,,07/06/2026,legacy_107_card,B3,B3,False,
108_card,C3,3,3,108,,https://cardlish.com/ide/,cards/108_card_front.png,cards/108_card_back.png,2,1,"(1150, 1660, 1699, 2341)","(1127, 1660, 1699, 2341)",False,,07/06/2026,legacy_108_card,C3,C3,False,
109_card,A1,1,1,109,,https://cardlish.com/ike/,cards/109_card_front.png,cards/109_card_back.png,2,1,"(0, 0, 540, 827)","(0, 0, 570, 823)",False,,07/06/2026,legacy_109_card,A1,A1,False,
batch032_B1,B1,2,1,110,,https://cardlish.com/ile/,cards/batch032_B1_front.png,cards/batch032_B1_back.png,2,1,"(0, 906, 540, 1589)","(0, 921, 570, 1605)",False,,07/06/2026,legacy_batch032_B1,B1,B1,False,
batch032_C1,C1,3,1,111,,https://cardlish.com/ime/,cards/batch032_C1_front.png,cards/batch032_C1_back.png,2,1,"(0, 1660, 540, 2341)","(0, 1659, 570, 2341)",False,,07/06/2026,legacy_batch032_C1,C1,C1,False,
112_card,C2,3,2,112,,https://cardlish.com/ine/,cards/112_card_front.png,cards/112_card_back.png,2,1,"(596, 1660, 1102, 2341)","(618, 1659, 1130, 2341)",False,,07/06/2026,legacy_112_card,C2,C2,False,
113_card,B2,2,2,113,,https://cardlish.com/ipe/,cards/113_card_front.png,cards/113_card_back.png,2,1,"(596, 906, 1102, 1589)","(618, 921, 1130, 1605)",False,,07/06/2026,legacy_113_card,B2,B2,False,
114_card,A2,1,2,114,,https://cardlish.com/ire/,cards/114_card_front.png,cards/114_card_back.png,2,1,"(596, 0, 1102, 827)","(618, 0, 1130, 823)",False,,07/06/2026,legacy_114_card,A2,A2,False,
115_card,A3,1,3,115,,https://cardlish.com/ite/,cards/115_card_front.png,cards/115_card_back.png,2,1,"(1181, 0, 1699, 827)","(1172, 0, 1699, 823)",False,,07/06/2026,legacy_115_card,A3,A3,False,
116_card,B3,2,3,116,,https://cardlish.com/ive/,cards/116_card_front.png,cards/116_card_back.png,2,1,"(1181, 906, 1699, 1589)","(1172, 921, 1699, 1605)",False,,07/06/2026,legacy_116_card,B3,B3,False,
batch032_C3,C3,3,3,117,,https://cardlish.com/ite/,cards/batch032_C3_front.png,cards/batch032_C3_back.png,2,1,"(1181, 1660, 1699, 2341)","(1172, 1659, 1699, 2341)",False,,07/06/2026,legacy_batch032_C3,C3,C3,False,
118_card,A1,1,1,118,,https://cardlish.com/ild/,cards/118_card_front.png,cards/118_card_back.png,2,1,"(0, 0, 548, 798)","(0, 0, 545, 798)",False,,07/06/2026,legacy_118_card,A1,A1,False,
119_card,B1,2,1,119,,https://cardlish.com/ind/,cards/119_card_front.png,cards/119_card_back.png,2,1,"(0, 893, 548, 1580)","(0, 915, 545, 1602)",False,,07/06/2026,legacy_119_card,B1,B1,False,
120_card,C1,3,1,120,,https://cardlish.com/long-i/,cards/120_card_front.png,cards/120_card_back.png,2,1,"(0, 1660, 548, 2341)","(0, 1659, 545, 2341)",False,,07/06/2026,legacy_120_card,C1,C1,False,
121_card,C2,3,2,121,,https://cardlish.com/long-i/,cards/121_card_front.png,cards/121_card_back.png,2,1,"(614, 1660, 1120, 2341)","(612, 1659, 1125, 2341)",False,,07/06/2026,legacy_121_card,C2,C2,False,
